"統計名：","人口推計 各月1日現在人口 概算値"
"表番号：","001"
"表題：","[概算値] 年齢（５歳階級），男女，月別人口－総人口（各月１日現在）-令和２年国勢調査基準-"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","該当数値がないもの"
"-","該当数値がないもの　"

"","","","","","","","","","","","","","","","","","","/男女別 コード","000","001","002"
"","","","","","","","","","","","","","","","","","","/男女別 補助コード","-","-","-"
"表章項目 コード","表章項目 補助コード","表章項目","人口 コード","人口 補助コード","人口","概算値 コード","概算値 補助コード","概算値","全国 コード","全国 補助コード","全国","時間軸（年月日現在） コード","時間軸（年月日現在） 補助コード","時間軸（年月日現在）","年齢5歳階級 コード","年齢5歳階級 補助コード","年齢5歳階級","/男女別","男女計","男","女"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01010","","45～49歳","","956","484","472"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01011","","50～54歳","","934","471","464"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01012","","55～59歳","","793","396","397"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01013","","60～64歳","","741","366","374"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01014","","65～69歳","","765","372","393"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01015","","70～74歳","","954","450","504"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01016","","75～79歳","","682","305","377"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01017","","80～84歳","","569","237","332"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01018","","85～89歳","","394","142","252"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01019","","90～94歳","","197","56","141"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01020","","95～99歳","","57","11","46"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01021","","100歳以上","","9","1","8"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","02000","","（再掲）15歳未満","","1,464","750","714"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01023","","（再掲）15～64歳","","7,415","3,755","3,660"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01024","","（再掲）65歳以上","","3,627","1,574","2,052"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01026","","（再掲）うち75歳以上","","1,908","752","1,156"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000505","","2022年5月","01027","","（再掲）うち85歳以上","","657","210","447"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01000","","総数","","12,493","6,072","6,420"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01001","","0～4歳","","430","220","210"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01002","","5～9歳","","498","255","243"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01003","","10～14歳","","532","273","259"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01004","","15～19歳","","552","283","269"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01005","","20～24歳","","619","317","302"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01006","","25～29歳","","635","326","309"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01007","","30～34歳","","645","330","315"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01008","","35～39歳","","727","369","357"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01009","","40～44歳","","801","406","395"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01010","","45～49歳","","954","483","471"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01011","","50～54歳","","935","471","464"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01012","","55～59歳","","796","398","398"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01013","","60～64歳","","741","367","375"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01014","","65～69歳","","763","371","392"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01015","","70～74歳","","951","449","502"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01016","","75～79歳","","685","307","379"
